CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Test Method,Chemical Purity Mean Op,Chemical Purity Mean(%),Chemical Purity Min(%),Chemical Purity Max(%),Species Scientific Name,Species Common Name,Organism Lifestage,Organism Age Mean Op,Organism Age Mean,Organism Age Min Op,Organism Age Min,Organism Age Max Op,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Conc 2 Type (Standardized),Conc 2 Mean Op (Standardized),Conc 2 Mean (Standardized),Conc Min 2 (Standardized),Conc 2 Max (Standardized),Conc 2 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Units (Days),Chemical Formulation,Chemical DTXSID,DOI,Study Type,Test Type,Result Sample Unit,BCF 1 Unit,BCF 2 Unit,Result Comment,General Comments,Author,Reference Number,Title,Source,Publication Year,Citation
50000,Formaldehyde,,Measured,Not coded,,90.0,,,Pimephales promelas,Fathead Minnow,,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,24.5,,22.9,,26.2,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7020637,,,,,--,,,,"Brooke,L.",14339,Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran,"Memo to L.Larson, Center for Lake Superior Environmental Studies dated August 31:24 p.",1987,"Brooke,L. (1987). Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran. Memo to L.Larson, Center for Lake Superior Environmental Studies dated August 31, 24 p. ECOREF#:14339"
50000,Formaldehyde,,Measured,Not coded,,90.0,,,Pimephales promelas,Fathead Minnow,,,30.0,,,,,Day(s),Static,Fresh water,Lab,,Active ingredient,,26.3,,23.2,,29.7,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7020637,,,,,--,,,,"Brooke,L.",14339,Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran,"Memo to L.Larson, Center for Lake Superior Environmental Studies dated August 31:24 p.",1987,"Brooke,L. (1987). Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran. Memo to L.Larson, Center for Lake Superior Environmental Studies dated August 31, 24 p. ECOREF#:14339"
50000,Formaldehyde,,Measured,Not reported,,90.0,,,Pimephales promelas,Fathead Minnow,,,34.0,,,,,Day(s),Flow-through,Fresh water,Lab,6,Active ingredient,,24.1,,22.6,,25.7,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020637,,,Acute,,--,,,SOURCE/CULTURES AT EITHER THE US EPA ENVIRONMENTAL RESEARCH LABORATORY-DULUTH OR THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/EITHER FILTERED LAKE SUPERIOR WATER OR DECHLORINATED WATER FROM THE CUTY OF SUPERIOR//   ,"Geiger,D.L., L.T. Brooke, and D.J. Call",3217,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",1990,"Geiger,D.L., L.T. Brooke, and D.J. Call (1990). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 332 p. ECOREF#:3217"
50066,"5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",,Measured,Not coded,>,99.0,,,Pimephales promelas,Fathead Minnow,,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,484.0,,446.0,,526.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID5021122,,,,,--,," NaOH pellets were added to the stock, increasing the amount of chemical in solution.  The pH was then adjusted to that of lake NAter using HCl.  Affected fish lost schooling behavior, were hypoactive and swam near the tank bottom. ","   NaOH pellets were added to the stock, increasing the amount of chemical in solution.  The pH was then adjusted to that of lake NAter using HCl.  Affected fish lost schooling behavior, were hypoactive and swam near the tank bottom. ","Geiger,D.L., D.J. Call, and L.T. Brooke",12859,Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV,"Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI4:355 p.",1988,"Geiger,D.L., D.J. Call, and L.T. Brooke (1988). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 4, 355 p. ECOREF#:12859"
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.0085,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1016/0043-1354(69)90040-2,,,,--,,,,"Solon,J.M., J.L. Lincer, and J.H. Nair III",2100,The Effect of Sublethal Concentration of LAS on the Acute Toxicity of Various Insecticides to the Fathead Minnow (Pimephales promelas Rafinesque),Water Res.3(10): 767-775,1969,"Solon,J.M., J.L. Lincer, and J.H. Nair III (1969). The Effect of Sublethal Concentration of LAS on the Acute Toxicity of Various Insecticides to the Fathead Minnow (Pimephales promelas Rafinesque). Water Res., 3, (10), 767-775. doi:10.1016/0043-1354(69)90040-2. ECOREF#:2100"
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]","Technical grade, technical product, technical formulation",Unmeasured,Not coded,,76.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.034,,,,,AI mg/L,Formulation,,0.045,,,AI mg/L,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2,,,,--,--," O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER//PURITY/24 % O,P'ISOMER// ","   O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER//PURITY/24 % O,P'ISOMER// ","Henderson,C., Q.H. Pickering, and C.M. Tarzwell",878,Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish,Trans. Am. Fish. Soc.88(1): 23-32,1959,"Henderson,C., Q.H. Pickering, and C.M. Tarzwell (1959). Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish. Trans. Am. Fish. Soc., 88, (1), 23-32. doi:10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2. ECOREF#:878"
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]","Technical grade, technical product, technical formulation",Unmeasured,Not coded,,76.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.032,,,,,AI mg/L,Formulation,,0.042,,,AI mg/L,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2,,,,--,--," O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER//CODE/95 % DIST WATER, 5 % SPRING WATER// PURITY/24 % O,P'ISOMER// ","   O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER//CODE/95 % DIST WATER, 5 % SPRING WATER// PURITY/24 % O,P'ISOMER// ","Henderson,C., Q.H. Pickering, and C.M. Tarzwell",878,Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish,Trans. Am. Fish. Soc.88(1): 23-32,1959,"Henderson,C., Q.H. Pickering, and C.M. Tarzwell (1959). Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish. Trans. Am. Fish. Soc., 88, (1), 23-32. doi:10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2. ECOREF#:878"
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.0155,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1016/0043-1354(69)90040-2,,,,--,,,,"Solon,J.M., J.L. Lincer, and J.H. Nair III",2100,The Effect of Sublethal Concentration of LAS on the Acute Toxicity of Various Insecticides to the Fathead Minnow (Pimephales promelas Rafinesque),Water Res.3(10): 767-775,1969,"Solon,J.M., J.L. Lincer, and J.H. Nair III (1969). The Effect of Sublethal Concentration of LAS on the Acute Toxicity of Various Insecticides to the Fathead Minnow (Pimephales promelas Rafinesque). Water Res., 3, (10), 767-775. doi:10.1016/0043-1354(69)90040-2. ECOREF#:2100"
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Unmeasured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,"Aquatic, unspecified",Fresh water,Lab,,Formulation,,0.019,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID4020375,,,,,--,,,,"Mayer,F.L.,Jr.",70421,Pesticides as Pollutants,"In: B.G.Liptak (Ed.), Environmental Engineer's Handbook, Chilton Book Co., Radnor, PA:405-418",1974,"Mayer,F.L.,Jr. (1974). Pesticides as Pollutants. In: B.G.Liptak (Ed.), Environmental Engineer's Handbook, Chilton Book Co., Radnor, PA, 405-418. ECOREF#:70421"
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]","Technical grade, technical product, technical formulation",Unmeasured,Not coded,,99.9,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.019,,0.013,,0.027,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1577/1548-8659(1970)99<20:ISOSCF>2.0.CO;2,,,,--,," RECONSTITUTED DILUTION WATER//PH,ALK/DILUTION WATER// ","   RECONSTITUTED DILUTION WATER//PH,ALK/DILUTION WATER// ","Macek,K.J., and W.A. McAllister",610,Insecticide Susceptibility of Some Common Fish Family Representatives,Trans. Am. Fish. Soc.99(1): 20-27,1970,"Macek,K.J., and W.A. McAllister (1970). Insecticide Susceptibility of Some Common Fish Family Representatives. Trans. Am. Fish. Soc., 99, (1), 20-27. doi:10.1577/1548-8659(1970)99<20:ISOSCF>2.0.CO;2. ECOREF#:610"
